Software | Software engineering | http://edamontology.org/topic_3372 | NO | LABEL | INEXACT | TOPIC || 0.42105263157894735 | 0.42105263157894735 | 0.42105263157894735
WorkflowStep | Workflows | http://edamontology.org/topic_0769 | YES | LABEL | INEXACT | TOPIC || 0.75 | 0.75 | 0.75
WorkflowStep | Workflow data | http://edamontology.org/data_2971 | YES | LABEL | INEXACT | DATA || 0.6666666666666667 | 0.0 | 0.4444444444444445
StatisticalMethod | Software engineering | http://edamontology.org/topic_3372 | NO | LABEL | INEXACT | TOPIC || 0.42105263157894735 | 0.42105263157894735 | 0.42105263157894735
Infrastructure | Structure | http://edamontology.org/data_0883 | NO | LABEL | INEXACT | DATA || 0.6428571428571428 | 0.6428571428571428 | 0.6428571428571428
Infrastructure | RNA structure | http://edamontology.org/topic_0697 | YES | LABEL | INEXACT | TOPIC || 0.7857142857142857 | 0.0 | 0.5238095238095238
Organism | Organisms | http://edamontology.org/topic_0621 | NO | EXACT_SYNONYM | INEXACT | TOPIC || 0.8888888888888888 | 0.8888888888888888 | 0.8888888888888888
Organism | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
Organism | iHOP organism ID | http://edamontology.org/data_1873 | NO | LABEL | INEXACT | DATA || 0.5714285714285714 | 0.5714285714285714 | 0.5714285714285714
Organism | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
ChipManufacturer | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
ChipManufacturer | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
ChipManufacturer | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
ChipManufacturer | Information retrieval | http://edamontology.org/topic_0090 | NO | LABEL | INEXACT | TOPIC || 0.44999999999999996 | 0.0 | 0.3
CustomCDF | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
CustomCDF | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
CustomCDF | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
CustomCDF | Information retrieval | http://edamontology.org/topic_0090 | NO | LABEL | INEXACT | TOPIC || 0.44999999999999996 | 0.0 | 0.3
CustomArray | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
CustomArray | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
CustomArray | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
CustomArray | Microarrays | http://edamontology.org/topic_0200 | YES | LABEL | INEXACT | TOPIC || 0.4545454545454546 | 0.0 | 0.30303030303030304
CustomDBSchema | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
CustomDBSchema | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
CustomDBSchema | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
CustomDBSchema | Information retrieval | http://edamontology.org/topic_0090 | NO | LABEL | INEXACT | TOPIC || 0.44999999999999996 | 0.0 | 0.3
FunctionalAnnotation | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
FunctionalAnnotation | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
FunctionalAnnotation | Genome annotation | http://edamontology.org/topic_0222 | YES | LABEL | INEXACT | TOPIC || 0.6 | 0.0 | 0.39999999999999997
FunctionalAnnotation | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
SequenceAnnotation | Sequence annotation | http://edamontology.org/operation_0361 | NO | LABEL | EXACT | OPERATION || 1.0 | 1.0 | 1.0
SequenceAnnotation | Sequence annotation | http://edamontology.org/topic_0221 | YES | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
SequenceAnnotation | Scent annotation | http://edamontology.org/data_0964 | YES | LABEL | INEXACT | DATA || 0.7222222222222222 | 0.0 | 0.48148148148148145
SequenceAnnotation | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
ChipName | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
ChipName | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
ChipName | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
ChipName | ChIP-seq | http://edamontology.org/topic_3169 | YES | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
PackageType | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
PackageType | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.7142857142857143 | 0.7142857142857143 | 0.7142857142857143
PackageType | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.5714285714285714 | 0.0 | 0.38095238095238093
PackageType | Information retrieval | http://edamontology.org/topic_0090 | NO | LABEL | INEXACT | TOPIC || 0.44999999999999996 | 0.0 | 0.3
SpecimenSource | Experimental data | http://edamontology.org/data_2028 | YES | LABEL | INEXACT | DATA || 0.875 | 0.0 | 0.5833333333333334
SpecimenSource | Experiment annotation format | http://edamontology.org/format_3167 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
SpecimenSource | PCR experiment | http://edamontology.org/topic_3519 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
OrganismData | Experimental data | http://edamontology.org/data_2028 | YES | LABEL | INEXACT | DATA || 0.875 | 0.0 | 0.5833333333333334
OrganismData | Experiment annotation format | http://edamontology.org/format_3167 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
OrganismData | PCR experiment | http://edamontology.org/topic_3519 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
DiseaseModel | Experimental data | http://edamontology.org/data_2028 | YES | LABEL | INEXACT | DATA || 0.875 | 0.0 | 0.5833333333333334
DiseaseModel | Experiment annotation format | http://edamontology.org/format_3167 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
DiseaseModel | PCR experiment | http://edamontology.org/topic_3519 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
TechnologyData | Experimental data | http://edamontology.org/data_2028 | YES | LABEL | INEXACT | DATA || 0.875 | 0.0 | 0.5833333333333334
TechnologyData | Biotechnology | http://edamontology.org/topic_3297 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
TechnologyData | Experiment annotation format | http://edamontology.org/format_3167 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
AssayDomainData | Experimental data | http://edamontology.org/data_2028 | YES | LABEL | INEXACT | DATA || 0.875 | 0.0 | 0.5833333333333334
AssayDomainData | Experiment annotation format | http://edamontology.org/format_3167 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
AssayDomainData | PCR experiment | http://edamontology.org/topic_3519 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
RepositoryData | Experimental data | http://edamontology.org/data_2028 | YES | LABEL | INEXACT | DATA || 0.875 | 0.0 | 0.5833333333333334
RepositoryData | Experiment annotation format | http://edamontology.org/format_3167 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
RepositoryData | PCR experiment | http://edamontology.org/topic_3519 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
aCGH | GCG | http://edamontology.org/format_1935 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
CellBasedAssays | SMART domain name | http://edamontology.org/data_2782 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
ChIPchip | ChIP-chip | http://edamontology.org/topic_3179 | YES | EXACT_SYNONYM | INEXACT | TOPIC || 0.8888888888888888 | 0.0 | 0.5925925925925926
CopyNumberVariation | Copy number estimation | http://edamontology.org/operation_3233 | NO | LABEL | INEXACT | OPERATION || 0.8 | 0.0 | 0.5333333333333333
CopyNumberVariation | Genetic variation | http://edamontology.org/topic_0199 | NO | LABEL | INEXACT | TOPIC || 0.5263157894736843 | 0.0 | 0.3508771929824562
CopyNumberVariation | DNA variation | http://edamontology.org/data_0918 | YES | LABEL | INEXACT | DATA || 0.5263157894736843 | 0.0 | 0.3508771929824562
CpGIsland | CpG island and isochores | http://edamontology.org/topic_1304 | NO | LABEL | INEXACT | TOPIC || 0.4285714285714286 | 0.4285714285714286 | 0.4285714285714286
CpGIsland | CpG island and isochores detection | http://edamontology.org/operation_0430 | NO | EXACT_SYNONYM | INEXACT | OPERATION || 0.30000000000000004 | 0.30000000000000004 | 0.30000000000000004
DNAMethylation | DNA methylation | http://edamontology.org/topic_3171 | YES | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
DNAMethylation | SNP detection | http://edamontology.org/operation_0484 | NO | LABEL | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
DNAMethylation | PubMed citation | http://edamontology.org/format_1734 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
DNAMethylation | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
ExonArray | Array | http://edamontology.org/data_2082 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.5555555555555556 | 0.5555555555555556 | 0.5555555555555556
GeneExpression | Gene expression | http://edamontology.org/topic_0203 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
GeneExpression | Gene expression analysis | http://edamontology.org/operation_2410 | YES | LABEL | INEXACT | OPERATION || 0.6363636363636364 | 0.6363636363636364 | 0.6363636363636364
GeneExpression | Gene expression data format | http://edamontology.org/format_2058 | NO | EXACT_SYNONYM | INEXACT | FORMAT || 0.5833333333333333 | 0.5833333333333333 | 0.5833333333333333
GeneExpression | Gene Expression Atlas Experiment ID | http://edamontology.org/data_3568 | NO | LABEL | INEXACT | DATA || 0.4516129032258065 | 0.4516129032258065 | 0.4516129032258065
GeneticVariability | Genetic variation | http://edamontology.org/topic_0199 | NO | LABEL | INEXACT | TOPIC || 0.7222222222222222 | 0.0 | 0.48148148148148145
SNP | SNP | http://edamontology.org/topic_2277 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
SNP | SNP | http://edamontology.org/data_2092 | YES | LABEL | EXACT | DATA || 1.0 | 1.0 | 1.0
SNP | hssp | http://edamontology.org/format_1455 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
Transcription | Transcription | http://edamontology.org/topic_0110 | YES | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Transcription | Transcriptional features (report) | http://edamontology.org/data_3138 | YES | LABEL | INEXACT | DATA || 0.4193548387096774 | 0.4193548387096774 | 0.4193548387096773
Transcription | Transposon prediction | http://edamontology.org/operation_0427 | NO | LABEL | INEXACT | OPERATION || 0.55 | 0.0 | 0.3666666666666667
Sequencing | Sequencing | http://edamontology.org/topic_3168 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Sequencing | Sequence | http://edamontology.org/data_2044 | NO | LABEL | INEXACT | DATA || 0.7 | 0.0 | 0.4666666666666666
Sequencing | Sequence merging | http://edamontology.org/operation_0232 | NO | LABEL | INEXACT | OPERATION || 0.6666666666666667 | 0.0 | 0.4444444444444445
Sequencing | Sequence range format | http://edamontology.org/format_2078 | NO | LABEL | INEXACT | FORMAT || 0.4736842105263158 | 0.0 | 0.31578947368421056
Microarray | Microarrays | http://edamontology.org/topic_0200 | YES | LABEL | INEXACT | TOPIC || 0.9090909090909091 | 0.9090909090909091 | 0.9090909090909091
Microarray | Microarray metadata | http://edamontology.org/data_3115 | NO | LABEL | INEXACT | DATA || 0.5555555555555556 | 0.5555555555555556 | 0.5555555555555556
Microarray | Microarray wave graph plotting | http://edamontology.org/operation_2935 | NO | LABEL | INEXACT | OPERATION || 0.37037037037037035 | 0.37037037037037035 | 0.3703703703703704
Microarray | Microarray experiment data format | http://edamontology.org/format_2056 | NO | LABEL | INEXACT | FORMAT || 0.33333333333333337 | 0.33333333333333337 | 0.3333333333333333
FlowCytometry | Biotechnology | http://edamontology.org/topic_3297 | NO | LABEL | INEXACT | TOPIC || 0.7692307692307692 | 0.7692307692307692 | 0.7692307692307692
FlowCytometry | CATH topology | http://edamontology.org/data_1558 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
MassSpectrometry | Mass spectrometry | http://edamontology.org/topic_0134 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
MassSpectrometry | Mass spectrometry experiment | http://edamontology.org/data_3147 | YES | LABEL | INEXACT | DATA || 0.6153846153846154 | 0.6153846153846154 | 0.6153846153846154
qPCR | Biotechnology | http://edamontology.org/topic_3297 | NO | LABEL | INEXACT | TOPIC || 0.7692307692307692 | 0.7692307692307692 | 0.7692307692307692
qPCR | CATH topology | http://edamontology.org/data_1558 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
qPCR | pcx | http://edamontology.org/format_3595 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
MicrotitrePlateAssay | Biotechnology | http://edamontology.org/topic_3297 | NO | LABEL | INEXACT | TOPIC || 0.7692307692307692 | 0.7692307692307692 | 0.7692307692307692
MicrotitrePlateAssay | CATH topology | http://edamontology.org/data_1558 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
SAGE | Biotechnology | http://edamontology.org/topic_3297 | NO | LABEL | INEXACT | TOPIC || 0.7692307692307692 | 0.7692307692307692 | 0.7692307692307692
SAGE | Image | http://edamontology.org/data_2968 | NO | LABEL | INEXACT | DATA || 0.6 | 0.0 | 0.39999999999999997
SAGE | svg | http://edamontology.org/format_3604 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
CellBiology | Cell biology | http://edamontology.org/topic_2229 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
CellBiology | Cell type ontology ID | http://edamontology.org/data_3238 | NO | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
CellBiology | CellML | http://edamontology.org/format_3240 | NO | LABEL | INEXACT | FORMAT || 0.4545454545454546 | 0.0 | 0.30303030303030304
Genetics | Genetics | http://edamontology.org/topic_3053 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Genetics | Gene ID | http://edamontology.org/data_2295 | NO | LABEL | INEXACT | DATA || 0.625 | 0.0 | 0.4166666666666667
Genetics | Genetic mapping | http://edamontology.org/operation_0282 | NO | LABEL | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
Genetics | geneseq | http://edamontology.org/format_2186 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
Metabolomics | Metabolomics | http://edamontology.org/topic_3172 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Metabolomics | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
Metagenomics | Metagenomics | http://edamontology.org/topic_3174 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Metagenomics | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
Proteomics | Proteomics | http://edamontology.org/topic_0121 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Proteomics | Protein 3D motifs | http://edamontology.org/data_0899 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.5333333333333333 | 0.0 | 0.35555555555555557
Proteomics | Protein docking | http://edamontology.org/operation_0478 | NO | EXACT_SYNONYM | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
Proteomics | prosite-profile | http://edamontology.org/format_1366 | NO | LABEL | INEXACT | FORMAT || 0.4666666666666667 | 0.0 | 0.3111111111111111
Lipidomics | Omics | http://edamontology.org/topic_3391 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.5 | 0.5
Lipidomics | LIPID MAPS ID | http://edamontology.org/data_2625 | NO | LABEL | INEXACT | DATA || 0.5454545454545454 | 0.0 | 0.3636363636363636
Pharmacogenomics | Pharmacogenomics | http://edamontology.org/topic_0208 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Pharmacogenomics | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
Pharmacogenetics | Pharmacogenomics | http://edamontology.org/topic_0208 | NO | LABEL | INEXACT | TOPIC || 0.875 | 0.0 | 0.5833333333333334
Pharmacogenetics | Heat map generation | http://edamontology.org/operation_0531 | NO | LABEL | INEXACT | OPERATION || 0.47058823529411764 | 0.0 | 0.3137254901960784
Pharmacogenetics | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
Cheminformatics | Cheminformatics | http://edamontology.org/topic_2258 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Cheminformatics | PHYLIP format | http://edamontology.org/format_1997 | NO | LABEL | INEXACT | FORMAT || 0.5333333333333333 | 0.0 | 0.35555555555555557
Cheminformatics | Taxonomic information | http://edamontology.org/data_1872 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
Cheminformatics | Demonstration | http://edamontology.org/operation_2246 | YES | LABEL | INEXACT | OPERATION || 0.4666666666666667 | 0.0 | 0.3111111111111111
StructuralGenomics | Structural genomics | http://edamontology.org/topic_0122 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
StructuralGenomics | Structure alignment | http://edamontology.org/data_0886 | NO | LABEL | INEXACT | DATA || 0.6111111111111112 | 0.0 | 0.40740740740740744
StructuralGenomics | Structure alignment (RNA) | http://edamontology.org/operation_0506 | YES | LABEL | INEXACT | OPERATION || 0.5652173913043479 | 0.0 | 0.3768115942028986
Biophysics | Biophysics | http://edamontology.org/topic_3306 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Biophysics | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
MathematicalBiology | Mathematical biology | http://edamontology.org/topic_3307 | NO | NARROW_SYNONYM | EXACT | TOPIC || 1.0 | 1.0 | 1.0
MathematicalBiology | Methylation calling | http://edamontology.org/operation_3205 | NO | LABEL | INEXACT | OPERATION || 0.4736842105263158 | 0.0 | 0.31578947368421056
MathematicalBiology | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
BiomedicalInformatics | Biomedical informatics | http://edamontology.org/topic_3063 | NO | EXACT_SYNONYM | EXACT | TOPIC || 1.0 | 1.0 | 1.0
BiomedicalInformatics | BioXSD XML format | http://edamontology.org/format_2352 | NO | EXACT_SYNONYM | INEXACT | FORMAT || 0.5238095238095238 | 0.0 | 0.34920634920634924
BiomedicalInformatics | Taxonomic information | http://edamontology.org/data_1872 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.5238095238095238 | 0.0 | 0.34920634920634924
ComparativeGenomics | Comparative genomics | http://edamontology.org/topic_0797 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
ComparativeGenomics | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
FunctionalGenomics | Functional genomics | http://edamontology.org/topic_0085 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
FunctionalGenomics | Functional mapping | http://edamontology.org/operation_0486 | YES | LABEL | INEXACT | OPERATION || 0.6111111111111112 | 0.0 | 0.40740740740740744
FunctionalGenomics | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
SystemsBiology | Systems biology | http://edamontology.org/topic_2259 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
SystemsBiology | Protein topology | http://edamontology.org/data_0875 | YES | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
ComputationalChemistry | Computational chemistry | http://edamontology.org/topic_3332 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
ComputationalChemistry | Computational procedure | http://edamontology.org/operation_0004 | NO | NARROW_SYNONYM | INEXACT | OPERATION || 0.6363636363636364 | 0.0 | 0.42424242424242425
ComputationalChemistry | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
Agroinformatics | Informatics | http://edamontology.org/topic_0605 | NO | LABEL | INEXACT | TOPIC || 0.7333333333333334 | 0.7333333333333334 | 0.7333333333333334
Agroinformatics | Version information | http://edamontology.org/data_0953 | YES | LABEL | INEXACT | DATA || 0.6111111111111112 | 0.0 | 0.40740740740740744
Agroinformatics | URI format | http://edamontology.org/format_2334 | YES | LABEL | INEXACT | FORMAT || 0.5333333333333333 | 0.0 | 0.35555555555555557
Transcriptomics | Transcriptomics | http://edamontology.org/topic_3308 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Transcriptomics | JASPAR profile ID | http://edamontology.org/data_1119 | NO | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
LinkageDisequilibrium | Linkage disequilibrium (report) | http://edamontology.org/data_1634 | YES | LABEL | INEXACT | DATA || 0.7241379310344828 | 0.7241379310344828 | 0.7241379310344828
LinkageDisequilibrium | Biological modelling | http://edamontology.org/topic_2259 | NO | LABEL | INEXACT | TOPIC || 0.631578947368421 | 0.0 | 0.42105263157894735
LinkageDisequilibrium | Tau angle calculation | http://edamontology.org/operation_1828 | NO | LABEL | INEXACT | OPERATION || 0.4736842105263158 | 0.0 | 0.31578947368421056
MetagenomeAssembly | Genome assembly | http://edamontology.org/operation_3440 | NO | LABEL | INEXACT | OPERATION || 0.7777777777777778 | 0.7777777777777778 | 0.7777777777777778
MetagenomeAssembly | Sequence assembly | http://edamontology.org/topic_0196 | NO | LABEL | INEXACT | TOPIC || 0.6666666666666667 | 0.0 | 0.4444444444444445
MetagenomeAssembly | Biological model ID | http://edamontology.org/data_1085 | NO | LABEL | INEXACT | DATA || 0.6111111111111112 | 0.0 | 0.40740740740740744
MetagenomeAssembly | Biological model format | http://edamontology.org/format_2034 | YES | LABEL | INEXACT | FORMAT || 0.5238095238095238 | 0.0 | 0.34920634920634924
MicrosatelliteDetection | Microsatellite annotation | http://edamontology.org/topic_2868 | NO | EXACT_SYNONYM | INEXACT | TOPIC || 0.75 | 0.0 | 0.5
MicrosatelliteDetection | Biological model ID | http://edamontology.org/data_1085 | NO | LABEL | INEXACT | DATA || 0.6111111111111112 | 0.0 | 0.40740740740740744
MicrosatelliteDetection | Frameshift detection | http://edamontology.org/operation_0265 | NO | LABEL | INEXACT | OPERATION || 0.5652173913043479 | 0.0 | 0.3768115942028986
MotifAnnotation | Sequence annotation | http://edamontology.org/operation_0361 | NO | LABEL | EXACT | OPERATION || 1.0 | 1.0 | 1.0
MotifAnnotation | Sequence annotation | http://edamontology.org/topic_0221 | YES | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
MotifAnnotation | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.6666666666666667 | 0.6666666666666667 | 0.6666666666666666
MotifAnnotation | Sequence variation annotation format | http://edamontology.org/format_2921 | NO | LABEL | INEXACT | FORMAT || 0.5454545454545454 | 0.0 | 0.3636363636363636
