Software | Software engineering | http://edamontology.org/topic_3372 | NO | LABEL | INEXACT | TOPIC || 0.42105263157894735 | 0.42105263157894735 | 0.42105263157894735
StatisticalMethod | Statistical calculation | http://edamontology.org/operation_2238 | NO | LABEL | INEXACT | OPERATION || 0.5909090909090908 | 0.0 | 0.39393939393939387
Infrastructure | Structure | http://edamontology.org/data_0883 | NO | LABEL | INEXACT | DATA || 0.6428571428571428 | 0.6428571428571428 | 0.6428571428571428
Infrastructure | RNA structure | http://edamontology.org/topic_0697 | YES | LABEL | INEXACT | TOPIC || 0.7857142857142857 | 0.0 | 0.5238095238095238
Organism | Organisms | http://edamontology.org/topic_0621 | NO | EXACT_SYNONYM | INEXACT | TOPIC || 0.8888888888888888 | 0.8888888888888888 | 0.8888888888888888
Organism | iHOP organism ID | http://edamontology.org/data_1873 | NO | LABEL | INEXACT | DATA || 0.5714285714285714 | 0.5714285714285714 | 0.5714285714285714
ChipManufacturer | Good manufacturing practice | http://edamontology.org/topic_3393 | NO | NARROW_SYNONYM | INEXACT | TOPIC || 0.43999999999999995 | 0.0 | 0.2933333333333333
CustomCDF | customtrack | http://edamontology.org/format_3588 | NO | LABEL | INEXACT | FORMAT || 0.5454545454545454 | 0.0 | 0.3636363636363636
CustomArray | Array | http://edamontology.org/data_2082 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.4545454545454546 | 0.4545454545454546 | 0.4545454545454546
CustomDBSchema | Schema | http://edamontology.org/data_2248 | YES | LABEL | INEXACT | DATA || 0.4285714285714286 | 0.4285714285714286 | 0.4285714285714286
CustomDBSchema | customtrack | http://edamontology.org/format_3588 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
FunctionalAnnotation | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.5 | 0.5 | 0.5
FunctionalAnnotation | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.5 | 0.5 | 0.5
FunctionalAnnotation | Genome annotation | http://edamontology.org/topic_0222 | YES | LABEL | INEXACT | TOPIC || 0.6 | 0.0 | 0.39999999999999997
FunctionalAnnotation | OWL Functional Syntax | http://edamontology.org/format_3252 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
SequenceAnnotation | Sequence annotation | http://edamontology.org/operation_0361 | NO | LABEL | EXACT | OPERATION || 1.0 | 1.0 | 1.0
SequenceAnnotation | Sequence annotation | http://edamontology.org/topic_0221 | YES | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
SequenceAnnotation | Scent annotation | http://edamontology.org/data_0964 | YES | LABEL | INEXACT | DATA || 0.7222222222222222 | 0.0 | 0.48148148148148145
SequenceAnnotation | Sequence variation annotation format | http://edamontology.org/format_2921 | NO | LABEL | INEXACT | FORMAT || 0.5454545454545454 | 0.0 | 0.3636363636363636
ChipName | Name | http://edamontology.org/data_2099 | NO | LABEL | INEXACT | DATA || 0.5 | 0.5 | 0.5
ChipName | ChIP-seq | http://edamontology.org/topic_3169 | YES | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
PackageType | Type | http://edamontology.org/data_2100 | YES | LABEL | INEXACT | DATA || 0.36363636363636365 | 0.36363636363636365 | 0.3636363636363636
SpecimenSource | Species tree | http://edamontology.org/data_3272 | NO | LABEL | INEXACT | DATA || 0.6428571428571428 | 0.0 | 0.42857142857142855
OrganismData | Organism name | http://edamontology.org/data_2909 | NO | LABEL | INEXACT | DATA || 0.75 | 0.0 | 0.5
DiseaseModel | Disease ID | http://edamontology.org/data_1150 | NO | LABEL | INEXACT | DATA || 0.6666666666666667 | 0.0 | 0.4444444444444445
DiseaseModel | Disease (specific) | http://edamontology.org/topic_2847 | YES | LABEL | INEXACT | TOPIC || 0.47058823529411764 | 0.0 | 0.3137254901960784
TechnologyData | Ontology data | http://edamontology.org/data_2353 | NO | LABEL | INEXACT | DATA || 0.6428571428571428 | 0.0 | 0.42857142857142855
TechnologyData | Ecology | http://edamontology.org/topic_0610 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
AssayDomainData | SMART domain name | http://edamontology.org/data_2782 | NO | LABEL | INEXACT | DATA || 0.5333333333333333 | 0.0 | 0.35555555555555557
RepositoryData | Reaction data | http://edamontology.org/data_2978 | NO | LABEL | INEXACT | DATA || 0.5714285714285714 | 0.0 | 0.38095238095238093
RepositoryData | Regulatory RNA | http://edamontology.org/topic_3060 | YES | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
aCGH | GCG | http://edamontology.org/format_1935 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
CellBasedAssays | Cell line name (assonant) | http://edamontology.org/data_2320 | NO | LABEL | INEXACT | DATA || 0.4545454545454546 | 0.0 | 0.30303030303030304
ChIPchip | ChIP-chip | http://edamontology.org/topic_3179 | YES | EXACT_SYNONYM | INEXACT | TOPIC || 0.8888888888888888 | 0.0 | 0.5925925925925926
CopyNumberVariation | Copy number estimation | http://edamontology.org/operation_3233 | NO | LABEL | INEXACT | OPERATION || 0.8 | 0.0 | 0.5333333333333333
CopyNumberVariation | Genetic variation | http://edamontology.org/topic_0199 | NO | LABEL | INEXACT | TOPIC || 0.5263157894736843 | 0.0 | 0.3508771929824562
CopyNumberVariation | DNA variation | http://edamontology.org/data_0918 | YES | LABEL | INEXACT | DATA || 0.5263157894736843 | 0.0 | 0.3508771929824562
CpGIsland | CpG island and isochores | http://edamontology.org/topic_1304 | NO | LABEL | INEXACT | TOPIC || 0.4285714285714286 | 0.4285714285714286 | 0.4285714285714286
CpGIsland | CpG island and isochores detection | http://edamontology.org/operation_0430 | NO | EXACT_SYNONYM | INEXACT | OPERATION || 0.30000000000000004 | 0.30000000000000004 | 0.30000000000000004
DNAMethylation | DNA methylation | http://edamontology.org/topic_3171 | YES | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
DNAMethylation | SNP detection | http://edamontology.org/operation_0484 | NO | LABEL | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
DNAMethylation | PubMed citation | http://edamontology.org/format_1734 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
DNAMethylation | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
ExonArray | Array | http://edamontology.org/data_2082 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.5555555555555556 | 0.5555555555555556 | 0.5555555555555556
GeneExpression | Gene expression | http://edamontology.org/topic_0203 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
GeneExpression | Gene expression analysis | http://edamontology.org/operation_2410 | YES | LABEL | INEXACT | OPERATION || 0.6363636363636364 | 0.6363636363636364 | 0.6363636363636364
GeneExpression | Gene expression data format | http://edamontology.org/format_2058 | NO | EXACT_SYNONYM | INEXACT | FORMAT || 0.5833333333333333 | 0.5833333333333333 | 0.5833333333333333
GeneExpression | Gene Expression Atlas Experiment ID | http://edamontology.org/data_3568 | NO | LABEL | INEXACT | DATA || 0.4516129032258065 | 0.4516129032258065 | 0.4516129032258065
GeneticVariability | Genetic variation | http://edamontology.org/topic_0199 | NO | LABEL | INEXACT | TOPIC || 0.7222222222222222 | 0.0 | 0.48148148148148145
SNP | SNP | http://edamontology.org/topic_2277 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
SNP | SNP | http://edamontology.org/data_2092 | YES | LABEL | EXACT | DATA || 1.0 | 1.0 | 1.0
SNP | hssp | http://edamontology.org/format_1455 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
Transcription | Transcription | http://edamontology.org/topic_0110 | YES | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Transcription | Transcriptional features (report) | http://edamontology.org/data_3138 | YES | LABEL | INEXACT | DATA || 0.4193548387096774 | 0.4193548387096774 | 0.4193548387096773
Transcription | Transposon prediction | http://edamontology.org/operation_0427 | NO | LABEL | INEXACT | OPERATION || 0.55 | 0.0 | 0.3666666666666667
Sequencing | Sequencing | http://edamontology.org/topic_3168 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Sequencing | Sequence image | http://edamontology.org/data_2969 | NO | LABEL | INEXACT | DATA || 0.6923076923076923 | 0.0 | 0.4615384615384615
Sequencing | Sequence merging | http://edamontology.org/operation_0232 | NO | LABEL | INEXACT | OPERATION || 0.6666666666666667 | 0.0 | 0.4444444444444445
Sequencing | Sequence range format | http://edamontology.org/format_2078 | NO | LABEL | INEXACT | FORMAT || 0.4736842105263158 | 0.0 | 0.31578947368421056
Microarray | Microarrays | http://edamontology.org/topic_0200 | YES | LABEL | INEXACT | TOPIC || 0.9090909090909091 | 0.9090909090909091 | 0.9090909090909091
Microarray | Microarray metadata | http://edamontology.org/data_3115 | NO | LABEL | INEXACT | DATA || 0.5555555555555556 | 0.5555555555555556 | 0.5555555555555556
Microarray | Microarray wave graph plotting | http://edamontology.org/operation_2935 | NO | LABEL | INEXACT | OPERATION || 0.37037037037037035 | 0.37037037037037035 | 0.3703703703703704
Microarray | Microarray experiment data format | http://edamontology.org/format_2056 | NO | LABEL | INEXACT | FORMAT || 0.33333333333333337 | 0.33333333333333337 | 0.3333333333333333
FlowCytometry | Optometry | http://edamontology.org/topic_3417 | NO | BROAD_SYNONYM | INEXACT | TOPIC || 0.6153846153846154 | 0.0 | 0.4102564102564103
MassSpectrometry | Mass spectrometry | http://edamontology.org/topic_0134 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
MassSpectrometry | Mass spectrometry experiment | http://edamontology.org/data_3147 | YES | LABEL | INEXACT | DATA || 0.6153846153846154 | 0.6153846153846154 | 0.6153846153846154
qPCR | PCR | http://edamontology.org/topic_0195 | YES | EXACT_SYNONYM | INEXACT | TOPIC || 0.75 | 0.75 | 0.75
qPCR | pcd | http://edamontology.org/format_3594 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
MicrotitrePlateAssay | Microsatellites | http://edamontology.org/topic_2868 | NO | LABEL | INEXACT | TOPIC || 0.55 | 0.0 | 0.3666666666666667
SAGE | Codon usage | http://edamontology.org/data_2927 | YES | LABEL | INEXACT | DATA || 0.4 | 0.4 | 0.4000000000000001
SAGE | ACE | http://edamontology.org/format_3001 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
CellBiology | Cell biology | http://edamontology.org/topic_2229 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
CellBiology | Cell type ontology ID | http://edamontology.org/data_3238 | NO | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
CellBiology | CellML | http://edamontology.org/format_3240 | NO | LABEL | INEXACT | FORMAT || 0.4545454545454546 | 0.0 | 0.30303030303030304
Genetics | Genetics | http://edamontology.org/topic_3053 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Genetics | Gene ID | http://edamontology.org/data_2295 | NO | LABEL | INEXACT | DATA || 0.625 | 0.0 | 0.4166666666666667
Genetics | Genetic mapping | http://edamontology.org/operation_0282 | NO | LABEL | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
Genetics | geneseq | http://edamontology.org/format_2186 | NO | LABEL | INEXACT | FORMAT || 0.5 | 0.0 | 0.3333333333333333
Metabolomics | Metabolomics | http://edamontology.org/topic_3172 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Metagenomics | Metagenomics | http://edamontology.org/topic_3174 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Proteomics | Proteomics | http://edamontology.org/topic_0121 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Proteomics | Protein 3D motifs | http://edamontology.org/data_0899 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.5333333333333333 | 0.0 | 0.35555555555555557
Proteomics | Protein docking | http://edamontology.org/operation_0478 | NO | EXACT_SYNONYM | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
Proteomics | prosite-profile | http://edamontology.org/format_1366 | NO | LABEL | INEXACT | FORMAT || 0.4666666666666667 | 0.0 | 0.3111111111111111
Lipidomics | Omics | http://edamontology.org/topic_3391 | NO | LABEL | INEXACT | TOPIC || 0.5 | 0.5 | 0.5
Lipidomics | LIPID MAPS ID | http://edamontology.org/data_2625 | NO | LABEL | INEXACT | DATA || 0.5454545454545454 | 0.0 | 0.3636363636363636
Pharmacogenomics | Pharmacogenomics | http://edamontology.org/topic_0208 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Pharmacogenetics | Pharmacogenomics | http://edamontology.org/topic_0208 | NO | LABEL | INEXACT | TOPIC || 0.875 | 0.0 | 0.5833333333333334
Pharmacogenetics | Heat map generation | http://edamontology.org/operation_0531 | NO | LABEL | INEXACT | OPERATION || 0.47058823529411764 | 0.0 | 0.3137254901960784
Cheminformatics | Cheminformatics | http://edamontology.org/topic_2258 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
Cheminformatics | PHYLIP format | http://edamontology.org/format_1997 | NO | LABEL | INEXACT | FORMAT || 0.5333333333333333 | 0.0 | 0.35555555555555557
Cheminformatics | Taxonomic information | http://edamontology.org/data_1872 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
Cheminformatics | Demonstration | http://edamontology.org/operation_2246 | YES | LABEL | INEXACT | OPERATION || 0.4666666666666667 | 0.0 | 0.3111111111111111
StructuralGenomics | Structural genomics | http://edamontology.org/topic_0122 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
StructuralGenomics | Structure alignment | http://edamontology.org/data_0886 | NO | LABEL | INEXACT | DATA || 0.6111111111111112 | 0.0 | 0.40740740740740744
StructuralGenomics | Structure alignment (RNA) | http://edamontology.org/operation_0506 | YES | LABEL | INEXACT | OPERATION || 0.5652173913043479 | 0.0 | 0.3768115942028986
Biophysics | Biophysics | http://edamontology.org/topic_3306 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
MathematicalBiology | Mathematical biology | http://edamontology.org/topic_3307 | NO | NARROW_SYNONYM | EXACT | TOPIC || 1.0 | 1.0 | 1.0
MathematicalBiology | Methylation calling | http://edamontology.org/operation_3205 | NO | LABEL | INEXACT | OPERATION || 0.4736842105263158 | 0.0 | 0.31578947368421056
BiomedicalInformatics | Biomedical informatics | http://edamontology.org/topic_3063 | NO | EXACT_SYNONYM | EXACT | TOPIC || 1.0 | 1.0 | 1.0
BiomedicalInformatics | BioXSD XML format | http://edamontology.org/format_2352 | NO | EXACT_SYNONYM | INEXACT | FORMAT || 0.5238095238095238 | 0.0 | 0.34920634920634924
BiomedicalInformatics | Taxonomic information | http://edamontology.org/data_1872 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.5238095238095238 | 0.0 | 0.34920634920634924
ComparativeGenomics | Comparative genomics | http://edamontology.org/topic_0797 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
FunctionalGenomics | Functional genomics | http://edamontology.org/topic_0085 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
FunctionalGenomics | Functional mapping | http://edamontology.org/operation_0486 | YES | LABEL | INEXACT | OPERATION || 0.6111111111111112 | 0.0 | 0.40740740740740744
SystemsBiology | Systems biology | http://edamontology.org/topic_2259 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
SystemsBiology | Protein topology | http://edamontology.org/data_0875 | YES | LABEL | INEXACT | DATA || 0.4666666666666667 | 0.0 | 0.3111111111111111
ComputationalChemistry | Computational chemistry | http://edamontology.org/topic_3332 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
ComputationalChemistry | Computational procedure | http://edamontology.org/operation_0004 | NO | NARROW_SYNONYM | INEXACT | OPERATION || 0.6363636363636364 | 0.0 | 0.42424242424242425
Agroinformatics | Informatics | http://edamontology.org/topic_0605 | NO | LABEL | INEXACT | TOPIC || 0.7333333333333334 | 0.7333333333333334 | 0.7333333333333334
Agroinformatics | Version information | http://edamontology.org/data_0953 | YES | LABEL | INEXACT | DATA || 0.6111111111111112 | 0.0 | 0.40740740740740744
Agroinformatics | URI format | http://edamontology.org/format_2334 | YES | LABEL | INEXACT | FORMAT || 0.5333333333333333 | 0.0 | 0.35555555555555557
Transcriptomics | Transcriptomics | http://edamontology.org/topic_3308 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
LinkageDisequilibrium | Linkage disequilibrium (report) | http://edamontology.org/data_1634 | YES | LABEL | INEXACT | DATA || 0.7241379310344828 | 0.7241379310344828 | 0.7241379310344828
MetagenomeAssembly | Genome assembly | http://edamontology.org/operation_3440 | NO | LABEL | INEXACT | OPERATION || 0.7777777777777778 | 0.7777777777777778 | 0.7777777777777778
MetagenomeAssembly | Sequence assembly | http://edamontology.org/topic_0196 | NO | LABEL | INEXACT | TOPIC || 0.6666666666666667 | 0.0 | 0.4444444444444445
MetagenomeAssembly | Sequence assembly ID | http://edamontology.org/data_3266 | NO | LABEL | INEXACT | DATA || 0.5555555555555556 | 0.0 | 0.3703703703703704
MicrosatelliteDetection | Microsatellite annotation | http://edamontology.org/topic_2868 | NO | EXACT_SYNONYM | INEXACT | TOPIC || 0.75 | 0.0 | 0.5
MicrosatelliteDetection | Frameshift detection | http://edamontology.org/operation_0265 | NO | LABEL | INEXACT | OPERATION || 0.5652173913043479 | 0.0 | 0.3768115942028986
MotifAnnotation | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.6666666666666667 | 0.6666666666666667 | 0.6666666666666666
MotifAnnotation | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.6666666666666667 | 0.6666666666666667 | 0.6666666666666666
MotifAnnotation | VNTR annotation | http://edamontology.org/topic_2867 | NO | EXACT_SYNONYM | INEXACT | TOPIC || 0.7333333333333334 | 0.0 | 0.48888888888888893
MotifAnnotation | Notation3 | http://edamontology.org/format_3257 | NO | LABEL | INEXACT | FORMAT || 0.4666666666666667 | 0.0 | 0.3111111111111111
MotifDiscovery | Motif discovery | http://edamontology.org/operation_0238 | NO | EXACT_SYNONYM | EXACT | OPERATION || 1.0 | 1.0 | 1.0
NetworkEnrichment | Enrichment | http://edamontology.org/operation_3501 | NO | LABEL | INEXACT | OPERATION || 0.5882352941176471 | 0.5882352941176471 | 0.5882352941176471
NetworkInference | Network | http://edamontology.org/data_2600 | NO | EXACT_SYNONYM | INEXACT | DATA || 0.4375 | 0.4375 | 0.4375
NetworkInference | Network analysis | http://edamontology.org/operation_2497 | NO | EXACT_SYNONYM | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
NucleosomePositioning | Nucleosome exclusion sequences | http://edamontology.org/data_1306 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
PeakDetection | Peak detection | http://edamontology.org/operation_3215 | NO | LABEL | EXACT | OPERATION || 1.0 | 1.0 | 1.0
PeakDetection | Protein feature detection | http://edamontology.org/topic_3074 | YES | LABEL | INEXACT | TOPIC || 0.5217391304347826 | 0.0 | 0.34782608695652173
PeakDetection | Peptide identification | http://edamontology.org/data_0945 | NO | LABEL | INEXACT | DATA || 0.47619047619047616 | 0.0 | 0.31746031746031744
QuantitativeTrailLocus | Quantitative trait locus | http://edamontology.org/data_1906 | YES | LABEL | INEXACT | DATA || 0.9545454545454546 | 0.0 | 0.6363636363636364
Scaffolding | Scaffolding | http://edamontology.org/operation_3216 | NO | LABEL | EXACT | OPERATION || 1.0 | 1.0 | 1.0
Scaffolding | Nucleic acid folding | http://edamontology.org/topic_0173 | NO | NARROW_SYNONYM | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
SequenceMatching | Sequence masking | http://edamontology.org/operation_0368 | NO | LABEL | INEXACT | OPERATION || 0.8125 | 0.0 | 0.5416666666666666
SequenceMatching | Sequence motifs | http://edamontology.org/topic_0158 | YES | LABEL | INEXACT | TOPIC || 0.6875 | 0.0 | 0.4583333333333333
SequenceMatching | Sequence motif | http://edamontology.org/data_1353 | NO | LABEL | INEXACT | DATA || 0.6875 | 0.0 | 0.4583333333333333
SequenceMatching | EMBOSS sequence pattern | http://edamontology.org/format_1357 | NO | LABEL | INEXACT | FORMAT || 0.47619047619047616 | 0.0 | 0.31746031746031744
SomaticMutation | Mutation | http://edamontology.org/topic_0199 | NO | NARROW_SYNONYM | INEXACT | TOPIC || 0.5333333333333333 | 0.5333333333333333 | 0.5333333333333333
SomaticMutation | Computation | http://edamontology.org/operation_2420 | NO | EXACT_SYNONYM | INEXACT | OPERATION || 0.6 | 0.0 | 0.39999999999999997
SomaticMutation | Scent annotation | http://edamontology.org/data_0964 | YES | LABEL | INEXACT | DATA || 0.5333333333333333 | 0.0 | 0.35555555555555557
SomaticMutation | PubMed citation | http://edamontology.org/format_1734 | NO | LABEL | INEXACT | FORMAT || 0.4666666666666667 | 0.0 | 0.3111111111111111
SplicedAlignment | Alignment | http://edamontology.org/operation_2928 | NO | LABEL | INEXACT | OPERATION || 0.5625 | 0.5625 | 0.5625
SplicedAlignment | Alignment | http://edamontology.org/topic_0083 | YES | LABEL | INEXACT | TOPIC || 0.5625 | 0.5625 | 0.5625
SplicedAlignment | Alignment | http://edamontology.org/data_1916 | NO | LABEL | INEXACT | DATA || 0.5625 | 0.5625 | 0.5625
StructuralVariation | Structural variation | http://edamontology.org/topic_3175 | NO | LABEL | EXACT | TOPIC || 1.0 | 1.0 | 1.0
StructuralVariation | Structure visualisation | http://edamontology.org/operation_0570 | NO | LABEL | INEXACT | OPERATION || 0.6818181818181819 | 0.0 | 0.4545454545454546
StructuralVariation | Structural profile | http://edamontology.org/data_0889 | NO | LABEL | INEXACT | DATA || 0.631578947368421 | 0.0 | 0.42105263157894735
TranscriptomeVariant | Transcriptome | http://edamontology.org/topic_3308 | NO | NARROW_SYNONYM | INEXACT | TOPIC || 0.65 | 0.65 | 0.65
TranscriptomeVariant | Transcript copy number estimation | http://edamontology.org/operation_3233 | NO | EXACT_SYNONYM | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
TranscriptomeVariant | Gene transcript report | http://edamontology.org/data_3134 | NO | LABEL | INEXACT | DATA || 0.44999999999999996 | 0.0 | 0.3
TranscriptomeVariant | GCG format variant | http://edamontology.org/format_3486 | NO | LABEL | INEXACT | FORMAT || 0.44999999999999996 | 0.0 | 0.3
VariantAnnotation | Annotation | http://edamontology.org/data_2018 | YES | LABEL | INEXACT | DATA || 0.5882352941176471 | 0.5882352941176471 | 0.5882352941176471
VariantAnnotation | Annotation | http://edamontology.org/operation_0226 | NO | LABEL | INEXACT | OPERATION || 0.5882352941176471 | 0.5882352941176471 | 0.5882352941176471
VariantAnnotation | RFLP annotation | http://edamontology.org/topic_2869 | NO | EXACT_SYNONYM | INEXACT | TOPIC || 0.6470588235294117 | 0.0 | 0.4313725490196078
VariantDetection | Detection | http://edamontology.org/operation_2423 | NO | NARROW_SYNONYM | INEXACT | OPERATION || 0.5625 | 0.5625 | 0.5625
VariantDetection | Virus annotation | http://edamontology.org/data_2307 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
VariantDetection | VNTR annotation | http://edamontology.org/topic_2867 | NO | EXACT_SYNONYM | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
AlternativeSplicing | Alternative medicine | http://edamontology.org/topic_3423 | NO | BROAD_SYNONYM | INEXACT | TOPIC || 0.7894736842105263 | 0.0 | 0.5263157894736842
Coverage | Conversion | http://edamontology.org/operation_3434 | NO | LABEL | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
Coverage | Core data | http://edamontology.org/data_3031 | YES | LABEL | INEXACT | DATA || 0.5 | 0.0 | 0.3333333333333333
DemethylateRegionDetection | Mutation detection | http://edamontology.org/operation_3202 | NO | LABEL | INEXACT | OPERATION || 0.6153846153846154 | 0.0 | 0.4102564102564103
DemethylateRegionDetection | Sequence feature detection | http://edamontology.org/topic_3072 | YES | LABEL | INEXACT | TOPIC || 0.5 | 0.0 | 0.3333333333333333
DenovoAssembler | Genome assembly | http://edamontology.org/operation_3440 | NO | LABEL | INEXACT | OPERATION || 0.6666666666666667 | 0.0 | 0.4444444444444445
DifferentialExpression | Differential expression analysis | http://edamontology.org/operation_3223 | NO | LABEL | INEXACT | OPERATION || 0.7333333333333334 | 0.7333333333333334 | 0.7333333333333334
DifferentialExpression | Protein expression | http://edamontology.org/topic_0108 | NO | LABEL | INEXACT | TOPIC || 0.5454545454545454 | 0.0 | 0.3636363636363636
DifferentialExpression | File name extension | http://edamontology.org/data_1059 | NO | LABEL | INEXACT | DATA || 0.4545454545454546 | 0.0 | 0.30303030303030304
DifferentialMethylation | DNA methylation | http://edamontology.org/topic_3171 | YES | LABEL | INEXACT | TOPIC || 0.6086956521739131 | 0.0 | 0.4057971014492754
DifferentialMethylation | Diffraction data integration | http://edamontology.org/operation_3453 | NO | LABEL | INEXACT | OPERATION || 0.5 | 0.0 | 0.3333333333333333
